x,y,color,delta,value,
49.9602,-7.5684,#f7f4f9,0.05,0.0000016944991541676256,
49.9602,-7.5184,#f7f4f9,0.05,0.000002548766292215508,
49.9602,-7.4684,#f7f4f9,0.05,0.0000034305498218081992,
49.9602,-7.4184,#f7f4f9,0.05,0.000004131830570720302,
49.9602,-7.3684,#f7f4f9,0.05,0.0000052573440184816355,
49.9602,-7.3184000000000005,#f7f4f9,0.05,0.000005573180086366364,
49.9602,-7.268400000000001,#f7f4f9,0.05,0.0000055250296098002765,
49.9602,-7.218400000000001,#f7f4f9,0.05,0.00000606506341318318,
49.9602,-7.168400000000001,#f7f4f9,0.05,0.000005769146365934451,
49.9602,-7.118400000000001,#f7f4f9,0.05,0.000006207202522163691,
49.9602,-7.068400000000001,#f7f4f9,0.05,0.000005145425339035534,
49.9602,-7.0184000000000015,#f7f4f9,0.05,0.000004879365310102694,
49.9602,-6.968400000000002,#f7f4f9,0.05,0.000004262380498853335,
49.9602,-6.918400000000002,#f7f4f9,0.05,0.000003435506963458505,
49.9602,-6.868400000000002,#f7f4f9,0.05,0.0000014559405265497552,
49.9602,-6.818400000000002,#f7f4f9,0.05,0.000001135400480693472,
49.9602,-6.768400000000002,#f7f4f9,0.05,7.923180871135738e-7,
49.9602,-6.718400000000003,#f7f4f9,0.05,0,
49.9602,-6.668400000000003,#f7f4f9,0.05,0,
49.9602,-6.618400000000003,#f7f4f9,0.05,0.0000037944689158725755,
49.9602,-6.568400000000003,#f7f4f9,0.05,0.000007984781782904903,
49.9602,-6.518400000000003,#f7f4f9,0.05,0.000014733378823923949,
49.9602,-6.4684000000000035,#f7f4f9,0.05,0.000025323015186360387,
49.9602,-6.418400000000004,#f7f4f9,0.05,0.000035780071369116976,
49.9602,-6.368400000000004,#f7f4f9,0.05,0.0000662785951031424,
49.9602,-6.318400000000004,#f7f4f9,0.05,0.00009106667473867761,
49.9602,-6.268400000000004,#f7f4f9,0.05,0.0001160679795679033,
49.9602,-6.218400000000004,#f7f4f9,0.05,0.00013733876599421842,
49.9602,-6.1684000000000045,#f7f4f9,0.05,0.00015348438720177375,
49.9602,-6.118400000000005,#f7f4f9,0.05,0.00015338440131997007,
49.9602,-6.068400000000005,#f7f4f9,0.05,0.0001466929761806003,
49.9602,-6.018400000000005,#f7f4f9,0.05,0.00013066195650629573,
49.9602,-5.968400000000005,#f7f4f9,0.05,0.00011734564429762313,
49.9602,-5.918400000000005,#f7f4f9,0.05,0.00010214432841335813,
49.9602,-5.868400000000006,#f7f4f9,0.05,0.00009474110022250601,
49.9602,-5.818400000000006,#f7f4f9,0.05,0.00011177625655495149,
49.9602,-5.768400000000006,#f7f4f9,0.05,0.00016079124033955465,
49.9602,-5.718400000000006,#f7f4f9,0.05,0.0002066408765782157,
49.9602,-5.668400000000006,#f7f4f9,0.05,0.00026396515207865827,
