x,y,color,delta,value
39.8763,-75.2781,#f7f4f9,0.002,1.2573809182123467e-19,
39.8763,-75.2761,#f7f4f9,0.002,2.3237807051779027e-17,
39.8763,-75.2741,#f7f4f9,0.002,2.810220930372745e-15,
39.8763,-75.27210000000001,#f7f4f9,0.002,2.2162604413464073e-13,
39.8763,-75.27010000000001,#f7f4f9,0.002,1.1361494618880994e-11,
39.8763,-75.26810000000002,#f7f4f9,0.002,3.775568278071182e-10,
39.8763,-75.26610000000002,#f7f4f9,0.002,8.115726309890724e-9,
39.8763,-75.26410000000003,#f7f4f9,0.002,1.1268198755902051e-7,
39.8763,-75.26210000000003,#f7f4f9,0.002,0.0000010100315643849653,
39.8763,-75.26010000000004,#f7f4f9,0.002,0.000005848927115198806,
39.8763,-75.25810000000004,#f7f4f9,0.002,0.000021940745250170227,
39.8763,-75.25610000000005,#f7f4f9,0.002,0.000053653855447435615,
39.8763,-75.25410000000005,#f7f4f9,0.002,0.00008667547890866092,
39.8763,-75.25210000000006,#f7f4f9,0.002,0.00009512694045125306,
39.8763,-75.25010000000006,#f7f4f9,0.002,0.00007596911257659814,
39.8763,-75.24810000000006,#f7f4f9,0.002,0.00005478569316515812,
39.8763,-75.24610000000007,#f7f4f9,0.002,0.000057856925813817296,
39.8763,-75.24410000000007,#f7f4f9,0.002,0.00010094610380532702,
39.8763,-75.24210000000008,#f7f4f9,0.002,0.00019582158510946126,
39.8763,-75.24010000000008,#f7f4f9,0.002,0.0003204503699271715,
39.8763,-75.23810000000009,#f7f4f9,0.002,0.0003841116912539055,
39.8763,-75.23610000000009,#f7f4f9,0.002,0.0003234605703018208,
39.8763,-75.2341000000001,#f7f4f9,0.002,0.00020099156392409744,
39.8763,-75.2321000000001,#f7f4f9,0.002,0.00010472617128114819,
39.8763,-75.2301000000001,#f7f4f9,0.002,0.00005128742207982218,
39.8763,-75.22810000000011,#f7f4f9,0.002,0.000024363464199325636,
39.8763,-75.22610000000012,#f7f4f9,0.002,0.000012156447287395709,
39.8763,-75.22410000000012,#f7f4f9,0.002,0.000006849188875552748,
39.8763,-75.22210000000013,#f7f4f9,0.002,0.000003907145260375871,
39.8763,-75.22010000000013,#f7f4f9,0.002,0.0000021291848910567273,
39.8763,-75.21810000000013,#f7f4f9,0.002,0.0000013754613151615651,
39.8763,-75.21610000000014,#f7f4f9,0.002,0.000001311138205008366,
39.8763,-75.21410000000014,#f7f4f9,0.002,0.0000013731790771752446,
39.8763,-75.21210000000015,#f7f4f9,0.002,0.0000011141682661502619,
39.8763,-75.21010000000015,#f7f4f9,0.002,6.11939350554392e-7,
39.8763,-75.20810000000016,#f7f4f9,0.002,2.1886114130801686e-7,
39.8763,-75.20610000000016,#f7f4f9,0.002,5.043289848923867e-8,
39.8763,-75.20410000000017,#f7f4f9,0.002,7.470507267156515e-9,
39.8763,-75.20210000000017,#f7f4f9,0.002,7.12589966158236e-10,
39.8763,-75.20010000000018,#f7f4f9,0.002,4.6741283423318566e-11,
39.8763,-75.19810000000018,#f7f4f9,0.002,2.6981947976508148e-11,
39.8763,-75.19610000000019,#f7f4f9,0.002,1.5023658965151434e-10,
39.8763,-75.19410000000019,#f7f4f9,0.002,5.777585671225098e-10,
39.8763,-75.1921000000002,#f7f4f9,0.002,1.4413160347015625e-9,
39.8763,-75.1901000000002,#f7f4f9,0.002,2.3557630937915826e-9,
39.8763,-75.1881000000002,#f7f4f9,0.002,2.5888236275110342e-9,
39.8763,-75.18610000000021,#f7f4f9,0.002,2.127996798956983e-9,
39.8763,-75.18410000000021,#f7f4f9,0.002,2.0528638773343896e-9,
39.8763,-75.18210000000022,#f7f4f9,0.002,3.69202140711763e-9,
39.8763,-75.18010000000022,#f7f4f9,0.002,7.4037883601670415e-9,
39.8763,-75.17810000000023,#f7f4f9,0.002,1.1492158687115625e-8,
39.8763,-75.17610000000023,#f7f4f9,0.002,1.3399474036541177e-8,
39.8763,-75.17410000000024,#f7f4f9,0.002,1.3118157764646444e-8,
39.8763,-75.17210000000024,#f7f4f9,0.002,1.2396378407979296e-8,
39.8763,-75.17010000000025,#f7f4f9,0.002,1.0762804847289225e-8,
39.8763,-75.16810000000025,#f7f4f9,0.002,7.395091818952339e-9,
39.8763,-75.16610000000026,#f7f4f9,0.002,4.264786281045517e-9,
39.8763,-75.16410000000026,#f7f4f9,0.002,3.1757060625811818e-9,
39.8763,-75.16210000000027,#f7f4f9,0.002,3.1573943132227684e-9,
39.8763,-75.16010000000027,#f7f4f9,0.002,2.6352194270848307e-9,
39.8763,-75.15810000000027,#f7f4f9,0.002,1.7171322794321522e-9,
39.8763,-75.15610000000028,#f7f4f9,0.002,1.3012692832219023e-9,
39.8763,-75.15410000000028,#f7f4f9,0.002,1.4008180240232431e-9,
39.8763,-75.15210000000029,#f7f4f9,0.002,1.3329240143701429e-9,
39.8763,-75.1501000000003,#f7f4f9,0.002,8.642924716237058e-10,
39.8763,-75.1481000000003,#f7f4f9,0.002,3.627003449829367e-10,
39.8763,-75.1461000000003,#f7f4f9,0.002,9.772958891149405e-11,
39.8763,-75.14410000000031,#f7f4f9,0.002,1.6888038939487575e-11,
39.8763,-75.14210000000031,#f7f4f9,0.002,1.8712338513714134e-12,
39.8763,-75.14010000000032,#f7f4f9,0.002,1.3294129177428393e-13,
39.8763,-75.13810000000032,#f7f4f9,0.002,6.05582510656144e-15,
39.8763,-75.13610000000033,#f7f4f9,0.002,1.7687982432394562e-16,
39.8763,-75.13410000000033,#f7f4f9,0.002,3.3137143065261324e-18,
39.8763,-75.13210000000034,#f7f4f9,0.002,3.9996892301886697e-20,
39.8763,-75.13010000000034,#f7f4f9,0.002,3.3031946219378876e-22,
39.8763,-75.12810000000034,#f7f4f9,0.002,3.189630653805259e-24,
39.8763,-75.12610000000035,#f7f4f9,0.002,7.993775528634246e-26,
39.8763,-75.12410000000035,#f7f4f9,0.002,2.1714928329173723e-27,
39.8763,-75.12210000000036,#f7f4f9,0.002,3.991825791199325e-29,
39.8763,-75.12010000000036,#f7f4f9,0.002,4.725583441130977e-31,
39.8763,-75.11810000000037,#f7f4f9,0.002,3.588959555895969e-33,
39.8763,-75.11610000000037,#f7f4f9,0.002,1.7480893293254111e-35,
39.8763,-75.11410000000038,#f7f4f9,0.002,5.460294286638251e-38,
39.8763,-75.11210000000038,#f7f4f9,0.002,1.0937503673008183e-40,
39.8763,-75.11010000000039,#f7f4f9,0.002,1.4049721605911851e-43,
39.8763,-75.10810000000039,#f7f4f9,0.002,1.1573497507272878e-46,
39.8763,-75.1061000000004,#f7f4f9,0.002,6.113786852540286e-50,
