x,y,color,delta,value
10,155,#00d0e5,2.5,0.0009845790743641144,
10,157.5,#00d0e5,2.5,0.0009588928295305056,
12.5,152.5,#00d0e5,2.5,0.0010592001399437176,
12.5,155,#00d0e5,2.5,0.0011509594553190407,
12.5,157.5,#00d0e5,2.5,0.001083445782256609,
15,150,#00d0e5,2.5,0.0010131410102053413,
15,152.5,#00d0e5,2.5,0.001208006141318702,
15,155,#00d0e5,2.5,0.0012571913103060991,
15,157.5,#00d0e5,2.5,0.0011366191430978694,
17.5,150,#00d0e5,2.5,0.0011183631687921825,
17.5,152.5,#00d0e5,2.5,0.0012878269515244696,
17.5,155,#00d0e5,2.5,0.0012874460903894171,
17.5,157.5,#00d0e5,2.5,0.0011160081201636275,
20,150,#00d0e5,2.5,0.0011356062362247279,
20,152.5,#00d0e5,2.5,0.001274344089057725,
20,155,#00d0e5,2.5,0.0012309095426192563,
20,157.5,#00d0e5,2.5,0.0010262631784992797,
22.5,150,#00d0e5,2.5,0.0010610231817115598,
22.5,152.5,#00d0e5,2.5,0.0011683224553139422,
22.5,155,#00d0e5,2.5,0.001097300117348983,
25,150,#00d0e5,2.5,0.0009307839973509194,
25,152.5,#00d0e5,2.5,0.0010110332408096432,
25,155,#00d0e5,2.5,0.0009308499154282299,
32.5,150,#00d0e5,2.5,0.0009600760397067114,
32.5,152.5,#00d0e5,2.5,0.0010634581194063917,
32.5,155,#00d0e5,2.5,0.0010404213328050677,
32.5,157.5,#00d0e5,2.5,0.0009141701915483754,
35,147.5,#00d0e5,2.5,0.0010283669141359462,
35,150,#00d0e5,2.5,0.0012655109786739824,
35,152.5,#00d0e5,2.5,0.0014005049972761155,
35,155,#00d0e5,2.5,0.0013955683895905395,
35,157.5,#00d0e5,2.5,0.0012617728266132461,
35,160,#00d0e5,2.5,0.0010504147420853627,
37.5,145,#00d0e5,2.5,0.0011096269394159787,
37.5,147.5,#00d0e5,2.5,0.0013935646837410778,
37.5,150,#00d0e5,2.5,0.0016411509318628892,
37.5,152.5,#00d0e5,2.5,0.0017842258767823693,
37.5,155,#00d0e5,2.5,0.001777977711487643,
37.5,157.5,#00d0e5,2.5,0.0016239313748434392,
37.5,160,#00d0e5,2.5,0.001370378936041128,
37.5,162.5,#00d0e5,2.5,0.0010924316082937381,
40,140,#00d0e5,2.5,0.0010817828586320612,
40,142.5,#00d0e5,2.5,0.0013088974472256715,
40,145,#00d0e5,2.5,0.0015488825724912344,
40,147.5,#00d0e5,2.5,0.00179092116883652,
40,150,#00d0e5,2.5,0.001996029916633197,
40,152.5,#00d0e5,2.5,0.0021062299349687936,
40,155,#00d0e5,2.5,0.002075996244317887,
40,157.5,#00d0e5,2.5,0.0018991118679932265,
40,160,#00d0e5,2.5,0.0016162705193286057,
40,162.5,#00d0e5,2.5,0.001302217001638066,
40,165,#00d0e5,2.5,0.0010336418424821414,
42.5,15,#00d0e5,2.5,0.0008904869722757546,
42.5,130,#00d0e5,2.5,0.000947884109960506,
42.5,132.5,#00d0e5,2.5,0.001075694293354482,
42.5,135,#00d0e5,2.5,0.0012584737867487648,
42.5,137.5,#00d0e5,2.5,0.0014729949005190706,
42.5,140,#00d0e5,2.5,0.0016852428880781152,
42.5,142.5,#00d0e5,2.5,0.0018716554795948812,
42.5,145,#00d0e5,2.5,0.002033014292138719,
42.5,147.5,#00d0e5,2.5,0.002177586817393349,
42.5,150,#00d0e5,2.5,0.002291245870938075,
42.5,152.5,#00d0e5,2.5,0.0023334280642546483,
42.5,155,#00d0e5,2.5,0.0022631343318154124,
42.5,157.5,#00d0e5,2.5,0.0020675018434939685,
42.5,160,#00d0e5,2.5,0.0017744942740173903,
42.5,162.5,#00d0e5,2.5,0.001447776955559148,
42.5,165,#00d0e5,2.5,0.0011610478274248464,
42.5,167.5,#00d0e5,2.5,0.0009564764415078495,
45,10,#00d0e5,2.5,0.0009566959222057882,
45,12.5,#00d0e5,2.5,0.0012247753155002566,
45,15,#00d0e5,2.5,0.0012721700781462954,
45,17.5,#00d0e5,2.5,0.0010963735587150216,
45,35,#00d0e5,2.5,0.0009146132996261911,
45,37.5,#00d0e5,2.5,0.000964546124695143,
45,40,#00d0e5,2.5,0.000957107918458543,
45,42.5,#00d0e5,2.5,0.0009004847867366082,
45,110,#00d0e5,2.5,0.0009565135444707753,
45,112.5,#00d0e5,2.5,0.0011258476937859299,
45,115,#00d0e5,2.5,0.0012518014932333796,
45,117.5,#00d0e5,2.5,0.0013367760185971857,
45,120,#00d0e5,2.5,0.001390087521071197,
45,122.5,#00d0e5,2.5,0.00142503572720398,
45,125,#00d0e5,2.5,0.001461798581533831,
45,127.5,#00d0e5,2.5,0.0015275794052478095,
45,130,#00d0e5,2.5,0.001643889913312804,
45,132.5,#00d0e5,2.5,0.0018109410067119192,
45,135,#00d0e5,2.5,0.002007005700419996,
45,137.5,#00d0e5,2.5,0.002198932514205842,
45,140,#00d0e5,2.5,0.002352928138039484,
45,142.5,#00d0e5,2.5,0.0024502589699427805,
45,145,#00d0e5,2.5,0.002500483756054156,
45,147.5,#00d0e5,2.5,0.0025275439487596626,
45,150,#00d0e5,2.5,0.0025367132249692003,
45,152.5,#00d0e5,2.5,0.0025024532960180885,
45,155,#00d0e5,2.5,0.002389320145856292,
45,157.5,#00d0e5,2.5,0.00217982225731191,
45,160,#00d0e5,2.5,0.0018887974088450821,
45,162.5,#00d0e5,2.5,0.0015636564765346287,
45,165,#00d0e5,2.5,0.001266911647946585,
45,167.5,#00d0e5,2.5,0.0010398605871427729,
47.5,10,#00d0e5,2.5,0.0013340161660485516,
47.5,12.5,#00d0e5,2.5,0.0017387519968235063,
47.5,15,#00d0e5,2.5,0.0018195724576165772,
47.5,17.5,#00d0e5,2.5,0.0015579340053208269,
47.5,20,#00d0e5,2.5,0.0011440755741382248,
47.5,35,#00d0e5,2.5,0.0009841412090593562,
47.5,37.5,#00d0e5,2.5,0.0011093870702363169,
47.5,40,#00d0e5,2.5,0.0011590964606431442,
47.5,42.5,#00d0e5,2.5,0.0011268587160579771,
47.5,45,#00d0e5,2.5,0.0010566129174322018,
47.5,47.5,#00d0e5,2.5,0.0010145775561541746,
47.5,50,#00d0e5,2.5,0.0010332073355559014,
47.5,52.5,#00d0e5,2.5,0.0010869926517341714,
47.5,55,#00d0e5,2.5,0.001129317004533375,
47.5,57.5,#00d0e5,2.5,0.0011441891405865915,
47.5,60,#00d0e5,2.5,0.0011465492966758713,
47.5,62.5,#00d0e5,2.5,0.0011388221202352088,
47.5,65,#00d0e5,2.5,0.0010955872794995469,
47.5,67.5,#00d0e5,2.5,0.0009989853604208932,
47.5,107.5,#00d0e5,2.5,0.0011371270438596277,
47.5,110,#00d0e5,2.5,0.001399300352244818,
47.5,112.5,#00d0e5,2.5,0.001606551251802047,
47.5,115,#00d0e5,2.5,0.0017640168435859582,
47.5,117.5,#00d0e5,2.5,0.0018863237817365337,
47.5,120,#00d0e5,2.5,0.0019855929619836234,
47.5,122.5,#00d0e5,2.5,0.00207201358129762,
47.5,125,#00d0e5,2.5,0.0021645106063952683,
47.5,127.5,#00d0e5,2.5,0.0022901675237586632,
47.5,130,#00d0e5,2.5,0.002460029229389483,
47.5,132.5,#00d0e5,2.5,0.0026492144211276683,
47.5,135,#0089e1,2.5,0.0028133491393443795,
47.5,137.5,#0089e1,2.5,0.0029204030688775944,
47.5,140,#0089e1,2.5,0.002960081353926981,
47.5,142.5,#0089e1,2.5,0.002939089717227859,
47.5,145,#0089e1,2.5,0.0028807258217439834,
47.5,147.5,#0089e1,2.5,0.0028136215740035614,
47.5,150,#0089e1,2.5,0.0027458863585817566,
47.5,152.5,#00d0e5,2.5,0.002655284666563903,
47.5,155,#00d0e5,2.5,0.002508789845043124,
47.5,157.5,#00d0e5,2.5,0.002287873552884899,
47.5,160,#00d0e5,2.5,0.0019999942776057805,
47.5,162.5,#00d0e5,2.5,0.0016791960501086123,
47.5,165,#00d0e5,2.5,0.001375055381380808,
47.5,167.5,#00d0e5,2.5,0.0011246843326016278,
47.5,170,#00d0e5,2.5,0.0009282618183660244,
50,7.5,#00d0e5,2.5,0.0011440592265653023,
50,10,#00d0e5,2.5,0.0018801824203216386,
50,12.5,#00d0e5,2.5,0.0024561236076944505,
50,15,#00d0e5,2.5,0.0025551638603549367,
50,17.5,#00d0e5,2.5,0.0021482120421072674,
50,20,#00d0e5,2.5,0.0015175772347407119,
50,22.5,#00d0e5,2.5,0.0009838158806842992,
50,35,#00d0e5,2.5,0.0010129578830793508,
50,37.5,#00d0e5,2.5,0.0012234871655231333,
50,40,#00d0e5,2.5,0.0013485216450805234,
50,42.5,#00d0e5,2.5,0.0013527971851375034,
50,45,#00d0e5,2.5,0.0012879728340512869,
50,47.5,#00d0e5,2.5,0.0012580970499505744,
50,50,#00d0e5,2.5,0.0013256988769763495,
50,52.5,#00d0e5,2.5,0.001458616880660301,
50,55,#00d0e5,2.5,0.0015760063939015243,
50,57.5,#00d0e5,2.5,0.0016346941780653482,
50,60,#00d0e5,2.5,0.0016512428314331192,
50,62.5,#00d0e5,2.5,0.001646977177338464,
50,65,#00d0e5,2.5,0.001608580073909973,
50,67.5,#00d0e5,2.5,0.001516850884310424,
50,70,#00d0e5,2.5,0.0013843471986449971,
50,72.5,#00d0e5,2.5,0.0012420504243031353,
50,75,#00d0e5,2.5,0.0011024560920567493,
50,77.5,#00d0e5,2.5,0.0009510623584098034,
50,105,#00d0e5,2.5,0.001178982879430108,
50,107.5,#00d0e5,2.5,0.0015669777754832306,
50,110,#00d0e5,2.5,0.0018814199668785545,
50,112.5,#00d0e5,2.5,0.002110979403278122,
50,115,#00d0e5,2.5,0.0022822622996250884,
50,117.5,#00d0e5,2.5,0.002427701337119602,
