x,y,color,delta
32.5,30,#00d0e5,2.5,
35,30,#00d0e5,2.5,
47.5,30,#00d0e5,2.5,
47.5,32.5,#00d0e5,2.5,
47.5,50,#00d0e5,2.5,
50,27.5,#00d0e5,2.5,
50,30,#00d0e5,2.5,
50,32.5,#00d0e5,2.5,
50,35,#00d0e5,2.5,
50,45,#00d0e5,2.5,
50,47.5,#00d0e5,2.5,
50,50,#00d0e5,2.5,
50,52.5,#00d0e5,2.5,
50,55,#00d0e5,2.5,
52.5,25,#00d0e5,2.5,
52.5,27.5,#00d0e5,2.5,
52.5,30,#00d0e5,2.5,
52.5,32.5,#00d0e5,2.5,
52.5,35,#00d0e5,2.5,
52.5,42.5,#00d0e5,2.5,
52.5,45,#00d0e5,2.5,
52.5,47.5,#00d0e5,2.5,
52.5,50,#00d0e5,2.5,
52.5,52.5,#00d0e5,2.5,
52.5,55,#00d0e5,2.5,
55,25,#00d0e5,2.5,
55,27.5,#00d0e5,2.5,
55,30,#00d0e5,2.5,
55,32.5,#00d0e5,2.5,
55,35,#00d0e5,2.5,
55,37.5,#00d0e5,2.5,
55,40,#00d0e5,2.5,
55,42.5,#00d0e5,2.5,
55,45,#00d0e5,2.5,
55,47.5,#0089e1,2.5,
55,50,#0089e1,2.5,
55,52.5,#00d0e5,2.5,
55,55,#00d0e5,2.5,
55,57.5,#00d0e5,2.5,
57.5,22.5,#00d0e5,2.5,
57.5,25,#00d0e5,2.5,
57.5,27.5,#00d0e5,2.5,
57.5,30,#00d0e5,2.5,
57.5,32.5,#00d0e5,2.5,
57.5,35,#00d0e5,2.5,
57.5,37.5,#00d0e5,2.5,
57.5,40,#00d0e5,2.5,
57.5,42.5,#00d0e5,2.5,
57.5,45,#0089e1,2.5,
57.5,47.5,#0089e1,2.5,
57.5,50,#0089e1,2.5,
57.5,52.5,#0089e1,2.5,
57.5,55,#00d0e5,2.5,
57.5,57.5,#00d0e5,2.5,
60,22.5,#00d0e5,2.5,
60,25,#00d0e5,2.5,
60,27.5,#00d0e5,2.5,
60,30,#00d0e5,2.5,
60,32.5,#00d0e5,2.5,
60,35,#00d0e5,2.5,
60,37.5,#00d0e5,2.5,
60,40,#00d0e5,2.5,
60,42.5,#00d0e5,2.5,
60,45,#0089e1,2.5,
60,47.5,#0089e1,2.5,
60,50,#0089e1,2.5,
60,52.5,#0089e1,2.5,
60,55,#00d0e5,2.5,
60,57.5,#00d0e5,2.5,
62.5,22.5,#00d0e5,2.5,
62.5,25,#00d0e5,2.5,
62.5,27.5,#00d0e5,2.5,
62.5,30,#00d0e5,2.5,
62.5,32.5,#00d0e5,2.5,
62.5,35,#00d0e5,2.5,
62.5,37.5,#00d0e5,2.5,
62.5,40,#00d0e5,2.5,
62.5,42.5,#00d0e5,2.5,
62.5,45,#0089e1,2.5,
62.5,47.5,#0089e1,2.5,
62.5,50,#0089e1,2.5,
62.5,52.5,#0089e1,2.5,
62.5,55,#00d0e5,2.5,
62.5,57.5,#00d0e5,2.5,
65,25,#00d0e5,2.5,
65,27.5,#00d0e5,2.5,
65,30,#00d0e5,2.5,
65,32.5,#00d0e5,2.5,
65,37.5,#00d0e5,2.5,
65,40,#00d0e5,2.5,
65,42.5,#00d0e5,2.5,
65,45,#0089e1,2.5,
65,47.5,#0089e1,2.5,
65,50,#0089e1,2.5,
65,52.5,#00d0e5,2.5,
65,55,#00d0e5,2.5,
67.5,27.5,#00d0e5,2.5,
67.5,30,#00d0e5,2.5,
67.5,32.5,#00d0e5,2.5,
67.5,37.5,#00d0e5,2.5,
67.5,40,#00d0e5,2.5,
67.5,42.5,#00d0e5,2.5,
67.5,45,#00d0e5,2.5,
67.5,47.5,#0089e1,2.5,
67.5,50,#00d0e5,2.5,
67.5,52.5,#00d0e5,2.5,
67.5,55,#00d0e5,2.5,
70,30,#00d0e5,2.5,
70,37.5,#00d0e5,2.5,
70,40,#00d0e5,2.5,
70,42.5,#00d0e5,2.5,
70,45,#00d0e5,2.5,
70,47.5,#00d0e5,2.5,
70,50,#00d0e5,2.5,
70,52.5,#00d0e5,2.5,
72.5,32.5,#00d0e5,2.5,
72.5,35,#00d0e5,2.5,
72.5,37.5,#00d0e5,2.5,
72.5,40,#00d0e5,2.5,
72.5,42.5,#00d0e5,2.5,
72.5,45,#00d0e5,2.5,
72.5,47.5,#00d0e5,2.5,
72.5,50,#00d0e5,2.5,
72.5,52.5,#00d0e5,2.5,
75,20,#00d0e5,2.5,
75,22.5,#00d0e5,2.5,
75,25,#00d0e5,2.5,
75,27.5,#00d0e5,2.5,
75,30,#00d0e5,2.5,
75,32.5,#00d0e5,2.5,
75,35,#00d0e5,2.5,
75,37.5,#00d0e5,2.5,
75,40,#00d0e5,2.5,
75,42.5,#00d0e5,2.5,
75,45,#00d0e5,2.5,
75,47.5,#00d0e5,2.5,
75,50,#00d0e5,2.5,
77.5,15,#00d0e5,2.5,
77.5,17.5,#00d0e5,2.5,
77.5,20,#00d0e5,2.5,
77.5,22.5,#00d0e5,2.5,
77.5,25,#00d0e5,2.5,
77.5,27.5,#00d0e5,2.5,
77.5,30,#00d0e5,2.5,
77.5,32.5,#00d0e5,2.5,
77.5,35,#00d0e5,2.5,
77.5,37.5,#00d0e5,2.5,
77.5,40,#00d0e5,2.5,
77.5,42.5,#00d0e5,2.5,
77.5,45,#00d0e5,2.5,
77.5,47.5,#00d0e5,2.5,
77.5,50,#00d0e5,2.5,
77.5,52.5,#00d0e5,2.5,
80,12.5,#00d0e5,2.5,
80,15,#00d0e5,2.5,
80,17.5,#00d0e5,2.5,
80,20,#00d0e5,2.5,
80,22.5,#00d0e5,2.5,
80,25,#00d0e5,2.5,
80,27.5,#00d0e5,2.5,
80,30,#00d0e5,2.5,
80,32.5,#00d0e5,2.5,
80,35,#00d0e5,2.5,
80,37.5,#00d0e5,2.5,
80,40,#00d0e5,2.5,
80,42.5,#00d0e5,2.5,
80,45,#00d0e5,2.5,
80,47.5,#00d0e5,2.5,
80,50,#00d0e5,2.5,
80,52.5,#00d0e5,2.5,
82.5,12.5,#00d0e5,2.5,
82.5,15,#00d0e5,2.5,
82.5,17.5,#00d0e5,2.5,
82.5,20,#00d0e5,2.5,
82.5,22.5,#00d0e5,2.5,
82.5,25,#00d0e5,2.5,
82.5,27.5,#00d0e5,2.5,
82.5,30,#00d0e5,2.5,
