x,y,color,delta,value,
24.3471,124.16,#f7f4f9,0.09,0.00003657060906686423,
24.3471,124.25,#f7f4f9,0.09,0.00003740730637654186,
24.3471,124.34,#f7f4f9,0.09,0.00003726565216085207,
24.3471,124.43,#f7f4f9,0.09,0.00003615754903009118,
24.3471,124.52000000000001,#f7f4f9,0.09,0.00003474841611923922,
24.3471,124.61000000000001,#f7f4f9,0.09,0.000023958410581843477,
24.3471,124.70000000000002,#f7f4f9,0.09,0.00002386519419663872,
24.3471,124.79000000000002,#f7f4f9,0.09,0.000018051574124458014,
24.3471,124.88000000000002,#f7f4f9,0.09,0.000012706058627753548,
24.3471,124.97000000000003,#f7f4f9,0.09,0.000012375774090363352,
24.3471,125.06000000000003,#f7f4f9,0.09,0.00001708175186541262,
24.3471,125.15000000000003,#f7f4f9,0.09,0.000026877807526095082,
24.3471,125.24000000000004,#f7f4f9,0.09,0.00002674195745277748,
24.3471,125.33000000000004,#f7f4f9,0.09,0.0000372394652886569,
24.3471,125.42000000000004,#f7f4f9,0.09,0.000026514980046537584,
24.3471,125.51000000000005,#f7f4f9,0.09,0.000010747475321946071,
24.3471,125.60000000000005,#f7f4f9,0.09,0.000005905289247788622,
24.3471,125.69000000000005,#f7f4f9,0.09,0.000006261942292125667,
24.3471,125.78000000000006,#f7f4f9,0.09,0.0000064582255979640165,
24.3471,125.87000000000006,#f7f4f9,0.09,0.000006478189185176552,
24.3471,125.96000000000006,#f7f4f9,0.09,0.00000632019249999544,
24.3471,126.05000000000007,#f7f4f9,0.09,0.000005997127057182707,
24.3471,126.14000000000007,#f7f4f9,0.09,0.00000553467926164239,
24.3471,126.23000000000008,#f7f4f9,0.09,0,
24.3471,126.32000000000008,#f7f4f9,0.09,0.0000056577124093030934,
24.3471,126.41000000000008,#f7f4f9,0.09,0.000006036560869801595,
24.3471,126.50000000000009,#f7f4f9,0.09,0.00000626432909234982,
24.3471,126.59000000000009,#f7f4f9,0.09,0.000006322601502853233,
24.3471,126.68000000000009,#f7f4f9,0.09,0.000011753903281990129,
24.3471,126.7700000000001,#f7f4f9,0.09,0.000011753928873765527,
24.3471,126.8600000000001,#f7f4f9,0.09,0.000011458130262064227,
24.3471,126.9500000000001,#f7f4f9,0.09,0.000005918765257983716,
24.3471,127.0400000000001,#f7f4f9,0.09,0.000005721192362047332,
24.3471,127.13000000000011,#f7f4f9,0.09,0.000005378711479353548,
24.3471,127.22000000000011,#f7f4f9,0.09,0,
24.3471,127.31000000000012,#f7f4f9,0.09,0,
24.3471,127.40000000000012,#f7f4f9,0.09,0,
24.3471,127.49000000000012,#f7f4f9,0.09,0,
24.3471,127.58000000000013,#f7f4f9,0.09,0,
24.3471,127.67000000000013,#f7f4f9,0.09,0,
24.3471,127.76000000000013,#f7f4f9,0.09,0,
24.3471,127.85000000000014,#f7f4f9,0.09,0,
24.3471,127.94000000000014,#f7f4f9,0.09,0,
24.3471,128.03000000000014,#f7f4f9,0.09,0,
24.3471,128.12000000000015,#f7f4f9,0.09,0,
24.3471,128.21000000000015,#f7f4f9,0.09,0,
24.3471,128.30000000000015,#f7f4f9,0.09,0,
24.3471,128.39000000000016,#f7f4f9,0.09,0,
24.3471,128.48000000000016,#f7f4f9,0.09,0,
24.3471,128.57000000000016,#f7f4f9,0.09,0,
24.3471,128.66000000000017,#f7f4f9,0.09,0,
24.3471,128.75000000000017,#f7f4f9,0.09,0,
24.3471,128.84000000000017,#f7f4f9,0.09,0,
24.3471,128.93000000000018,#f7f4f9,0.09,0,
24.3471,129.02000000000018,#f7f4f9,0.09,0,
24.3471,129.11000000000018,#f7f4f9,0.09,0,
24.3471,129.2000000000002,#f7f4f9,0.09,0,
24.3471,129.2900000000002,#f7f4f9,0.09,0,
24.3471,129.3800000000002,#f7f4f9,0.09,0,
24.3471,129.4700000000002,#f7f4f9,0.09,0,
24.3471,129.5600000000002,#f7f4f9,0.09,0,
24.3471,129.6500000000002,#f7f4f9,0.09,0,
24.3471,129.7400000000002,#f7f4f9,0.09,0,
24.3471,129.8300000000002,#f7f4f9,0.09,0,
24.3471,129.92000000000021,#f7f4f9,0.09,0,
