x,y,color,delta,value
36.3,-89.582541,#f7f4f9,0.04,0.000010285213773929904,
36.3,-89.542541,#f7f4f9,0.04,0.000015760369354631517,
36.3,-89.502541,#f7f4f9,0.04,0.00002035218237345345,
36.3,-89.46254099999999,#f7f4f9,0.04,0.00002235644813427158,
36.3,-89.42254099999998,#f7f4f9,0.04,0.000021759740922901228,
36.3,-89.38254099999997,#f7f4f9,0.04,0.000022111164527226155,
36.3,-89.34254099999997,#f7f4f9,0.04,0.000023920488455302916,
36.3,-89.30254099999996,#f7f4f9,0.04,0.00002572109318296694,
36.3,-89.26254099999996,#f7f4f9,0.04,0.000019434827985884906,
36.3,-89.22254099999995,#f7f4f9,0.04,0.00001582302360836317,
36.3,-89.18254099999994,#f7f4f9,0.04,0.000014092798449145898,
36.3,-89.14254099999994,#f7f4f9,0.04,0.000015549220393678794,
36.3,-89.10254099999993,#f7f4f9,0.04,0.000017598030911833687,
36.3,-89.06254099999992,#f7f4f9,0.04,0.000018291089683639873,
36.3,-89.02254099999992,#f7f4f9,0.04,0.00001920589856260126,
36.3,-88.98254099999991,#f7f4f9,0.04,0.00003337630614420316,
36.3,-88.9425409999999,#f7f4f9,0.04,0.000043485078429959516,
36.3,-88.9025409999999,#f7f4f9,0.04,0.00004793764532222796,
36.3,-88.8625409999999,#f7f4f9,0.04,0.00004263292288527195,
36.3,-88.82254099999989,#f7f4f9,0.04,0.00002953528905999667,
36.3,-88.78254099999988,#f7f4f9,0.04,0.00001355883048564235,
36.3,-88.74254099999987,#f7f4f9,0.04,0.000009833247485547823,
36.3,-88.70254099999987,#f7f4f9,0.04,0.000008321921944082316,
36.3,-88.66254099999986,#f7f4f9,0.04,0.00000694413623223744,
36.3,-88.62254099999986,#f7f4f9,0.04,0.000006884346316253166,
36.3,-88.58254099999985,#f7f4f9,0.04,0.000008341335754928279,
36.3,-88.54254099999984,#f7f4f9,0.04,0.00000952324895657684,
36.3,-88.50254099999984,#f7f4f9,0.04,0.000011700103234920542,
36.3,-88.46254099999983,#f7f4f9,0.04,0.000014805704882987879,
36.3,-88.42254099999982,#f7f4f9,0.04,0.00002125204398103163,
36.3,-88.38254099999982,#f7f4f9,0.04,0.00003036255529865335,
36.3,-88.34254099999981,#f7f4f9,0.04,0.00003738581726952644,
