x,y,color,delta,value
36.3,-89.582541,#f7f4f9,0.04,0.000010940728119455642,
36.3,-89.542541,#f7f4f9,0.04,0.00001677629778980404,
36.3,-89.502541,#f7f4f9,0.04,0.00002175955322848793,
36.3,-89.46254099999999,#f7f4f9,0.04,0.0000248021059606555,
36.3,-89.42254099999998,#f7f4f9,0.04,0.000026268737685502872,
36.3,-89.38254099999997,#f7f4f9,0.04,0.0000275482112482351,
36.3,-89.34254099999997,#f7f4f9,0.04,0.00002877647637889475,
36.3,-89.30254099999996,#f7f4f9,0.04,0.00002837669099299875,
36.3,-89.26254099999996,#f7f4f9,0.04,0.000025278716611716355,
36.3,-89.22254099999995,#f7f4f9,0.04,0.000021443778585473404,
36.3,-89.18254099999994,#f7f4f9,0.04,0.000019233550831101228,
36.3,-89.14254099999994,#f7f4f9,0.04,0.000019046584038260706,
36.3,-89.10254099999993,#f7f4f9,0.04,0.000020203300568086868,
36.3,-89.06254099999992,#f7f4f9,0.04,0.00002298753653885693,
36.3,-89.02254099999992,#f7f4f9,0.04,0.000027517477413324522,
36.3,-88.98254099999991,#f7f4f9,0.04,0.000035404801397124905,
36.3,-88.9425409999999,#f7f4f9,0.04,0.000044915294917563785,
36.3,-88.9025409999999,#f7f4f9,0.04,0.0000493314787327361,
36.3,-88.8625409999999,#f7f4f9,0.04,0.00004394685714741859,
36.3,-88.82254099999989,#f7f4f9,0.04,0.000032103273314054224,
36.3,-88.78254099999988,#f7f4f9,0.04,0.000020943659237595393,
36.3,-88.74254099999987,#f7f4f9,0.04,0.000013782343449457985,
36.3,-88.70254099999987,#f7f4f9,0.04,0.000009729765972007262,
36.3,-88.66254099999986,#f7f4f9,0.04,0.000008068955596176187,
36.3,-88.62254099999986,#f7f4f9,0.04,0.00000802889718664668,
36.3,-88.58254099999985,#f7f4f9,0.04,0.000009056783085159125,
36.3,-88.54254099999984,#f7f4f9,0.04,0.000010878178250248444,
36.3,-88.50254099999984,#f7f4f9,0.04,0.00001326513073423189,
36.3,-88.46254099999983,#f7f4f9,0.04,0.000016928378970381827,
36.3,-88.42254099999982,#f7f4f9,0.04,0.00002342393705718704,
36.3,-88.38254099999982,#f7f4f9,0.04,0.00003257148612753951,
36.3,-88.34254099999981,#f7f4f9,0.04,0.00003967230418984566,
36.3,-88.3025409999998,#f7f4f9,0.04,0.000039691735813391666,
36.3,-88.2625409999998,#f7f4f9,0.04,0.000033282037603846676,
36.3,-88.2225409999998,#f7f4f9,0.04,0.000026931472028509985,
36.3,-88.18254099999979,#f7f4f9,0.04,0.000025572356676273628,
36.3,-88.14254099999978,#f7f4f9,0.04,0.0000274097735555748,
36.3,-88.10254099999977,#f7f4f9,0.04,0.000026837659644208096,
36.3,-88.06254099999977,#f7f4f9,0.04,0.00002085781175968618,
36.3,-88.02254099999976,#f7f4f9,0.04,0.000012214159518032247,
36.3,-87.98254099999976,#f7f4f9,0.04,0.000005361420169263056,
36.3,-87.94254099999975,#f7f4f9,0.04,0.0000017837587612605132,
36.3,-87.90254099999974,#f7f4f9,0.04,4.062829143268712e-7,
36.3,-87.86254099999974,#f7f4f9,0.04,6.462484538239041e-8,
36.3,-87.82254099999973,#f7f4f9,0.04,1.9560458537483785e-8,
36.3,-87.78254099999972,#f7f4f9,0.04,0,
36.3,-87.74254099999972,#f7f4f9,0.04,0,
36.3,-87.70254099999971,#f7f4f9,0.04,0,
36.3,-87.6625409999997,#f7f4f9,0.04,0,
36.3,-87.6225409999997,#f7f4f9,0.04,0,
36.3,-87.5825409999997,#f7f4f9,0.04,0,
36.3,-87.54254099999969,#f7f4f9,0.04,0,
36.3,-87.50254099999968,#f7f4f9,0.04,0,
36.3,-87.46254099999967,#f7f4f9,0.04,0,
36.3,-87.42254099999967,#f7f4f9,0.04,0,
36.3,-87.38254099999966,#f7f4f9,0.04,0,
36.3,-87.34254099999966,#f7f4f9,0.04,0,
36.3,-87.30254099999965,#f7f4f9,0.04,0,
36.3,-87.26254099999964,#f7f4f9,0.04,0,
36.3,-87.22254099999964,#f7f4f9,0.04,0,
36.3,-87.18254099999963,#f7f4f9,0.04,0,
36.3,-87.14254099999962,#f7f4f9,0.04,0,
