x,y,color,delta,value
0,0,#f7f4f9,0.008,0.000001543147709814451,
0,0.008,#f7f4f9,0.008,0.0000031456959581725166,
0,0.016,#f7f4f9,0.008,0.000005011494829503315,
0,0.024,#f7f4f9,0.008,0.0000060383394761235905,
0,0.032,#f7f4f9,0.008,0.000006706393452264344,
0,0.04,#f7f4f9,0.008,0.000008286069491171367,
0,0.048,#f7f4f9,0.008,0.000009721763943531804,
0,0.056,#f7f4f9,0.008,0.000009609649724232368,
0,0.064,#f7f4f9,0.008,0.000008489784816802627,
0,0.07200000000000001,#f7f4f9,0.008,0.00000922901269099045,
0,0.08000000000000002,#f7f4f9,0.008,0.000011703979530355073,
0,0.08800000000000002,#f7f4f9,0.008,0.000014163156608722699,
0,0.09600000000000003,#f7f4f9,0.008,0.000014513500971579685,
0,0.10400000000000004,#f7f4f9,0.008,0.00001492686732785699,
0,0.11200000000000004,#f7f4f9,0.008,0.000017120402893838922,
0,0.12000000000000005,#f7f4f9,0.008,0.00001560744221634522,
0,0.12800000000000006,#f7f4f9,0.008,0.000010986211464274749,
0,0.13600000000000007,#f7f4f9,0.008,0.000010061560560297769,
0,0.14400000000000007,#f7f4f9,0.008,0.00001230373805160831,
0,0.15200000000000008,#f7f4f9,0.008,0.000014714214357850812,
0,0.1600000000000001,#f7f4f9,0.008,0.000015576751187232136,
0,0.1680000000000001,#f7f4f9,0.008,0.000017759769936077016,
0,0.1760000000000001,#f7f4f9,0.008,0.00002190679959993332,
0,0.1840000000000001,#f7f4f9,0.008,0.000024745410865475842,
0,0.19200000000000012,#f7f4f9,0.008,0.00002447363184185454,
0,0.20000000000000012,#f7f4f9,0.008,0.000019843051866251165,
0,0.20800000000000013,#f7f4f9,0.008,0.00001797998533442903,
0,0.21600000000000014,#f7f4f9,0.008,0.000021089680583721498,
0,0.22400000000000014,#f7f4f9,0.008,0.00002543149410082389,
0,0.23200000000000015,#f7f4f9,0.008,0.00003103817208300732,
0,0.24000000000000016,#f7f4f9,0.008,0.00003216674439239639,
0,0.24800000000000016,#f7f4f9,0.008,0.000022769472155189107,
0,0.25600000000000017,#f7f4f9,0.008,0.000012808303414052495,
0,0.2640000000000002,#f7f4f9,0.008,0.00001105780699852465,
0,0.2720000000000002,#f7f4f9,0.008,0.000013365002562082877,
0,0.2800000000000002,#f7f4f9,0.008,0.000015160076021653508,
0,0.2880000000000002,#f7f4f9,0.008,0.00001603904245628335,
0,0.2960000000000002,#f7f4f9,0.008,0.00001928305347189987,
0,0.3040000000000002,#f7f4f9,0.008,0.00002322800070467727,
0,0.3120000000000002,#f7f4f9,0.008,0.000025346294250600205,
0,0.32000000000000023,#f7f4f9,0.008,0.000023835171184043192,
0,0.32800000000000024,#f7f4f9,0.008,0.000020370806635387472,
0,0.33600000000000024,#f7f4f9,0.008,0.00002187093071572847,
0,0.34400000000000025,#f7f4f9,0.008,0.000026830502401721027,
0,0.35200000000000026,#f7f4f9,0.008,0.00003338298924611671,
0,0.36000000000000026,#f7f4f9,0.008,0.00003763804572085823,
0,0.36800000000000027,#f7f4f9,0.008,0.00003560586638846636,
0,0.3760000000000003,#f7f4f9,0.008,0.00003613701857395472,
0,0.3840000000000003,#f7f4f9,0.008,0.000043386655319575556,
0,0.3920000000000003,#f7f4f9,0.008,0.00004383851930009447,
0,0.4000000000000003,#f7f4f9,0.008,0.000030307148928967547,
0,0.4080000000000003,#f7f4f9,0.008,0.000020549230511817875,
0,0.4160000000000003,#f7f4f9,0.008,0.000021354042553480287,
0,0.4240000000000003,#f7f4f9,0.008,0.000025464226391590254,
0,0.43200000000000033,#f7f4f9,0.008,0.000031447355385069015,
0,0.44000000000000034,#f7f4f9,0.008,0.00003532983188077533,
0,0.44800000000000034,#f7f4f9,0.008,0.00003410199147108441,
